Airports,Arrival,Departure,Total,Latitude,Longitude
KLIA,5374688,5204138,10578826,2.74449103500,101.70155690000
PULAU PINANG,797007,797836,1594843,5.29645343300,100.27520780000
KOTA KINABALU,784602,801693,1586295,5.92331792600,116.05114900000
KUCHING,632687,637041,1269728,1.48738975100,110.34163420000
LANGKAWI,298385,309225,607610,6.34239444000,99.73089096000
JOHOR BAHRU,353852,360889,714741,1.63639226300,103.66810260000
KOTA BHARU,182117,184890,367007,6.17021335600,102.29349570000
IPOH,61897,64508,126405,4.57011916500,101.09861310000
KUALA TERENGGANU,62984,64780,127764,5.37883661400,103.10504110000
ALOR SETAR,62778,65747,128525,6.19195495200,100.39525330000
MELAKA,7367,7044,14411,2.25534443900,102.25089000000
SUBANG,176442,173187,349629,3.12895993200,101.55210230000
KUANTAN,17449,17854,35303,3.78085957400,103.21505340000
TIOMAN,528,598,1126,2.82020998300,104.15946290000
REDANG,447,572,1019,5.76522476000,103.00502550000
LABUAN,57741,55908,113649,5.29886835800,115.24756270000
LAHAD DATU,16876,17386,34262,5.08068249400,118.30122810000
SANDAKAN,108129,109525,217654,5.89726016000,118.06193520000
TAWAU,183488,184469,367957,4.31400425800,118.11434570000
BINTULU,102916,102797,205713,3.12387010400,113.02390890000
MIRI,252360,254748,507108,4.32316336900,113.98742980000
SIBU,203375,205840,409215,2.25628101400,111.98609040000
MULU,8304,8273,16577,4.04927700800,114.81103470000
LIMBANG,9768,9945,19713,4.81002080000,115.00790630000
MUKAH,7238,7408,14646,2.88823698700,112.04387430000
