loc_1,Latitude_1,Longitude_1,loc_2,Latitude_2,Longitude_2,Total
KLIA,2.74,101.7,ALOR SETAR,6.19,100.4,438071.00
KLIA,2.74,101.7,JOHOR BAHRU,1.64,103.67,659327.00
KLIA,2.74,101.7,KOTA BHARU,6.17,102.29,1142222.00
KLIA,2.74,101.7,KOTA KINABALU,5.92,116.05,2710476.00
KLIA,2.74,101.7,TERENGGANU,5.38,103.11,452316.00
KLIA,2.74,101.7,KUANTAN,3.78,103.22,141178.00
KLIA,2.74,101.7,KUCHING,1.49,110.34,2317681.00
KLIA,2.74,101.7,LABUAN,5.3,115.25,252564.00
KLIA,2.74,101.7,LANGKAWI,6.34,99.73,1716357.00
KLIA,2.74,101.7,MIRI,4.32,113.99,822044.00
KLIA,2.74,101.7,PULAU PINANG,5.3,100.28,1725624.00
KLIA,2.74,101.7,SIBU,2.26,111.99,667258.00
KLIA,2.74,101.7,TAWAU,4.31,118.11,840621.00
JOHOR BAHRU,1.64,103.67,SUBANG,3.13,101.55,173990.00
JOHOR BAHRU,1.64,103.67,PENANG,5.29,100.27,662609.00
JOHOR BAHRU,1.64,103.67,ALOR SETAR,6.19,100.4,50479.00
JOHOR BAHRU,1.64,103.67,LANGKAWI,6.34,99.73,63730.00
JOHOR BAHRU,1.64,103.67,IPOH,4.57,101.09,117277.00
JOHOR BAHRU,1.64,103.67,SIBU,2.26,111.99,110946.00
JOHOR BAHRU,1.64,103.67,TAWAU,4.31,118.11,66986.00
JOHOR BAHRU,1.64,103.67,KOTA BHARU,6.17,102.29,43695.00
PULAU PINANG,5.3,100.28,LANGKAWI,6.34,99.73,382817.00
KOTA KINABALU,5.92,116.05,JOHOR BAHRU,1.64,103.67,247443.00
KOTA KINABALU,5.92,116.05,TAWAU,4.31,118.11,771965.00
KOTA KINABALU,5.92,116.05,LABUAN,5.3,115.25,120466.00
KOTA KINABALU,5.92,116.05,LAHAD DATU,5.08,118.3,133593.00
KOTA KINABALU,5.92,116.05,MIRI,4.32,113.99,201147.00
KOTA KINABALU,5.92,116.05,SIBU,2.26,111.99,110906.00
KOTA KINABALU,5.92,116.05,KUCHING,1.49,110.34,457580.00
KUCHING,1.49,110.34,JOHOR BAHRU,1.64,103.67,316462.00
KUCHING,1.49,110.34,PULAU PINANG,5.3,100.28,199808.00
BINTULU,3.12,113.02,MIRI,4.32,113.99,19971.00
MIRI,4.32,113.99,LABUAN,5.3,115.25,95507.00
MIRI,4.32,113.99,JOHOR BAHRU,1.64,103.67,34944.00
BINTULU,3.12,113.02,MUKAH,2.89,112.04,621.00
KOTA KINABALU,5.92,116.05,SANDAKAN,5.9,118.06,462578.00
KOTA KINABALU,5.92,116.05,BINTULU,3.12,113.02,65278.00
LAWAS,4.85,115.41,KOTA KINABALU,5.92,116.05,972.00
LIMBANG,4.81,115.01,KOTA KINABALU,5.92,116.05,3097.00
MIRI,4.32,113.99,BARIO,3.73,115.48,12309.00
SANDAKAN,5.9,118.06,TAWAU,4.31,118.11,25048.00
KUCHING,1.49,110.34,BINTULU,3.12,113.02,389401.00
KUCHING,1.49,110.34,MIRI,4.32,113.99,623032.00
KUCHING,1.49,110.34,SIBU,2.26,111.99,510025.00
KUCHING,1.49,110.34,MUKAH,2.89,112.04,50743.00
LAWAS,4.85,115.41,MIRI,4.32,113.99,43927.00
LIMBANG,4.81,115.01,MIRI,4.32,113.99,53899.00
LIMBANG,4.81,115.01,LAWAS,4.85,115.41,1148.00
MARUDI,4.18,114.33,MIRI,4.32,113.99,7518.00
MIRI,4.32,113.99,MULU,4.05,114.81,38039.00
MIRI,4.32,113.99,SIBU,2.26,111.99,84764.00
MUKAH,2.89,112.04,MIRI,4.32,113.99,7583.00
MUKAH,2.89,112.04,SIBU,2.26,111.99,1501.00
SIBU,2.26,111.99,BINTULU,3.12,113.02,17240.00
